Age,var,est,est_l,est_u
<18,a,-0.01,-0.163853967,0.172281676
18-29,a,0.05,-0.000567839,0.105798833
30-39,a,0.05,-0.005258127,0.111012765
40-49,a,0.07,-0.014564891,0.167275032
>=50,a,0.08,-0.067001793,0.257784701
<18,b,0.04,-0.058197795,0.150227789
18-29,b,-0.01,-0.034668777,0.015401398
30-39,b,-0.02,-0.048199667,0.009444319
40-49,b,0,-0.044453643,0.046521702
>=50,b,0.03,-0.04855367,0.116023588
<18,c,0,-0.160895477,0.191746645
18-29,c,-0.09,-0.122578687,-0.048039751
30-39,c,-0.08,-0.117746633,-0.03412804
40-49,c,-0.1,-0.16470306,-0.019832693
>=50,c,-0.13,-0.208388074,-0.025972752
