,Age,var,est,est_l,est_u
1,<18,a,0.080567224,0.080495782,0.08063867
9,18-29,a,0.110240292,0.110237878,0.110242706
17,30-39,a,0.219143173,-0.052997426,0.569488952
25,40-49,a,0.075761356,-0.208030818,0.461246879
33,>=50,a,0.733806906,0.110126161,1.707878161
2,<18,b,-0.230819105,-0.230846223,-0.230791986
10,18-29,b,-0.129145873,-0.129147839,-0.129143906
18,30-39,b,0.044862692,-0.246690854,0.449256326
26,40-49,b,-0.112005382,-0.429359383,0.381840719
34,>=50,b,0.186475106,-0.352354271,1.173600651
3,<18,c,0.360171972,0.360127129,0.360216818
11,18-29,c,0.141964366,0.141961871,0.141966861
19,30-39,c,0.386270046,0.049137471,0.831737684
27,40-49,c,0.430135159,-0.011911777,1.069943273
35,>=50,c,0.629995255,-0.058195889,1.821058542
4,<18,d,-0.07549619,-0.075526468,-0.075465911
12,18-29,d,0.072564277,0.072562229,0.072566325
20,30-39,d,0.265845576,-0.034484388,0.659595147
28,40-49,d,0.396423557,-0.049584544,1.051732997
36,>=50,d,0.734788294,-0.039803852,2.134245469
5,<18,e,0.289819444,0.289778412,0.289860477
13,18-29,e,0.161797282,0.161794802,0.161799762
21,30-39,e,0.281872495,-0.02245752,0.680946993
29,40-49,e,0.636810069,0.103911774,1.42695772
37,>=50,e,1.022017585,0.065269687,2.838046987
6,<18,f,-0.317380376,-0.317448148,-0.317312597
14,18-29,f,0.159581639,0.159578968,0.159584311
22,30-39,f,0.677043124,0.224225951,1.297348489
30,40-49,f,0.4162686,-0.109472489,1.252391671
38,>=50,f,0.659682361,-0.178796658,2.354279504
7,<18,g,0.008975549,0.008973376,0.008977722
15,18-29,g,0.000749108,0.000748976,0.000749239
23,30-39,g,-0.015295652,-0.043542772,0.013785692
31,40-49,g,0.013284595,-0.030422524,0.058961966
39,>=50,g,0.064437102,-0.004527658,0.138179632
8,<18,h,-0.027076882,-0.027090765,-0.027062999
16,18-29,h,-0.042208265,-0.042208744,-0.042207787
24,30-39,h,-0.04806411,-0.114809743,0.023714316
32,40-49,h,-0.039659877,-0.138182978,0.070126405
40,>=50,h,-0.134448251,-0.251760561,0.001256804
